id,user_name,command,timestamp,current_dir,client_ip,server_ip,exit_code,session_id
1,admin,ls -la,2026-05-12 08:15:00,/app,10.0.0.5,10.10.10.5,0,sess_admin_18
2,admin,cat /var/log/auth.log,2026-05-07 01:01:00,/data/models,10.0.0.5,172.20.0.10,0,sess_admin_1
3,userA,mv old.log new.log,2026-05-11 22:34:00,/tmp,10.0.0.5,172.20.0.11,0,sess_userA_1
4,userA,mv old.log new.log,2026-05-07 10:17:00,/project,10.0.0.5,172.20.0.11,0,sess_userA_13
5,admin,pip install torch,2026-05-14 11:38:00,/home/userA,192.168.1.10,10.10.10.5,0,sess_admin_4
6,userC,free -h,2026-05-09 09:53:00,/var/log,10.10.10.5,172.20.0.10,0,sess_userC_2
7,userA,df -h,2026-05-02 07:55:00,/data/models,203.0.113.5,172.20.0.11,0,sess_userA_12
8,userA,pip install torch,2026-05-06 06:42:00,/home/userA,192.168.1.10,10.10.10.5,0,sess_userA_18
9,userA,docker ps,2026-05-08 12:17:00,/models,10.0.0.5,10.10.10.5,0,sess_userA_2
10,userA,ps aux | grep python,2026-05-13 10:25:00,/home/userA,192.168.1.10,172.20.0.10,1,sess_userA_19
11,userB,top,2026-05-11 15:25:00,/build,10.0.0.5,172.20.0.11,0,sess_userB_18
12,userB,python inference.py,2026-05-10 13:57:00,/tmp,172.16.0.20,172.20.0.10,2,sess_userB_5
13,userC,free -h,2026-05-13 01:55:00,/data/models,10.0.0.5,10.10.10.5,0,sess_userC_14
14,admin,"find / -name ""*.py""",2026-05-07 19:29:00,/models,172.16.0.20,10.10.10.5,1,sess_admin_1
15,admin,du -sh /data,2026-05-15 17:48:00,/home/userA,172.16.0.20,172.20.0.10,0,sess_admin_6
16,userC,ls -la,2026-05-12 23:16:00,/models,10.0.0.5,10.10.10.5,1,sess_userC_10
17,userA,rm -rf /tmp/cache,2026-05-06 05:34:00,/models,192.168.1.10,10.10.10.5,0,sess_userA_1
18,admin,pip install torch,2026-05-15 09:15:00,/data,10.0.0.5,10.10.10.5,1,sess_admin_3
19,userC,free -h,2026-05-13 17:49:00,/project,10.0.0.5,10.10.10.5,0,sess_userC_18
20,userA,git pull,2026-05-09 19:27:00,/app,10.10.10.5,10.10.10.5,0,sess_userA_10
21,userC,du -sh /data,2026-05-11 11:28:00,/models,203.0.113.5,172.20.0.10,0,sess_userC_3
22,userB,ls -la,2026-05-10 17:14:00,/app,192.168.1.10,172.20.0.10,0,sess_userB_2
23,userA,free -h,2026-05-15 01:55:00,/var/log,192.168.1.10,10.10.10.5,0,sess_userA_16
24,userA,sudo apt update,2026-05-03 23:59:00,/build,10.0.0.5,172.20.0.11,0,sess_userA_7
25,admin,nvidia-smi,2026-05-11 13:22:00,/tmp,203.0.113.5,172.20.0.11,1,sess_admin_2
26,admin,ps aux | grep python,2026-05-07 23:21:00,/data/models,10.0.0.5,172.20.0.10,0,sess_admin_15
27,userA,cd /data,2026-05-03 08:29:00,/app,192.168.1.10,172.20.0.11,0,sess_userA_18
28,admin,ps aux | grep python,2026-05-11 17:53:00,/data,192.168.1.10,172.20.0.10,0,sess_admin_16
29,userC,top,2026-05-14 12:57:00,/data,10.0.0.5,172.20.0.11,0,sess_userC_13
30,userB,cp model.pth /backup/,2026-05-05 13:44:00,/models,203.0.113.5,172.20.0.10,0,sess_userB_7
31,admin,cat /var/log/auth.log,2026-05-12 17:03:00,/var/log,192.168.1.10,172.20.0.10,0,sess_admin_17
32,userA,ps aux | grep python,2026-05-09 02:54:00,/project,192.168.1.10,10.10.10.5,0,sess_userA_8
33,userC,nvidia-smi,2026-05-15 18:15:00,/data,10.10.10.5,172.20.0.10,0,sess_userC_19
34,userB,git pull,2026-05-04 21:45:00,/var/log,10.0.0.5,172.20.0.11,0,sess_userB_10
35,userC,tail -f error.log,2026-05-15 02:00:00,/build,10.10.10.5,10.10.10.5,2,sess_userC_3
36,userA,jupyter notebook,2026-05-05 04:59:00,/var/log,192.168.1.10,172.20.0.10,0,sess_userA_6
37,userC,sudo apt update,2026-05-12 09:39:00,/models,192.168.1.10,10.10.10.5,0,sess_userC_10
38,admin,rm -rf /tmp/cache,2026-05-05 03:56:00,/data/models,10.10.10.5,172.20.0.10,0,sess_admin_20
39,userA,mv old.log new.log,2026-05-06 06:43:00,/home/userA,10.10.10.5,172.20.0.11,0,sess_userA_2
40,admin,htop,2026-05-07 08:02:00,/data,172.16.0.20,172.20.0.10,0,sess_admin_9
41,userA,python inference.py,2026-05-08 17:45:00,/tmp,10.10.10.5,172.20.0.10,0,sess_userA_5
42,admin,pip install torch,2026-05-10 17:09:00,/tmp,10.0.0.5,172.20.0.10,0,sess_admin_2
